ID,TimePT,TimeCar,MarginalCostPT,CostCarCHF,distance_km,age,NbChild,NbCar,NbMoto,NbBicy,Choice,Gender_man,Gender_unreported,Gender_woman,OccupStat_fulltime,OccupStat_notfulltime
10350017,85,32,0.0,4.54,30.0,27,0,1,0,3,1,1,0,0,0,1
10350075,107,23,24.0,3.38,25.0,63,0,1,0,0,1,0,0,1,0,1
10350085,190,14,10.8,1.66,12.5,57,0,2,0,3,1,1,0,0,1,0
10350086,116,20,9.6,2.71,19.0,58,0,2,0,3,1,0,0,1,0,1
10350100,20,9,2.2,1.63,13.0,80,0,1,0,0,1,1,0,0,0,1
10350120,116,33,12.4,6.98,45.0,64,0,1,0,2,1,0,0,1,0,1
10350133,92,27,11.0,3.88,27.0,59,0,1,0,2,1,1,0,0,1,0
10350197,124,22,0.0,3.5,26.0,30,0,2,0,1,1,1,0,0,1,0
10350199,123,19,9.4,2.91,22.0,33,1,2,0,2,1,0,0,1,0,1
10350199,80,12,4.8,1.62,11.0,33,1,2,0,2,1,0,0,1,0,1
10350272,266,51,37.2,7.65,55.0,42,3,2,0,3,1,1,0,0,1,0
10350272,250,40,11.0,7.39,49.5,42,3,2,0,3,1,1,0,0,1,0
10359998,33,9,3.0,0.97,7.0,50,0,2,0,4,1,1,0,0,1,0
10359999,88,40,26.0,7.19,54.0,-1,-1,-1,-1,-1,0,0,1,0,0,1
10360009,29,9,6.2,1.32,9.0,69,2,4,1,4,1,1,0,0,0,1
10360009,0,1,0.0,0.2,0.8,69,2,4,1,4,2,1,0,0,0,1
10360009,71,14,4.8,1.52,11.0,69,2,4,1,4,1,1,0,0,0,1
10360009,90,5,6.2,0.6,3.0,69,2,4,1,4,1,1,0,0,0,1
10360013,181,24,16.2,2.97,20.0,42,2,2,0,4,1,1,0,0,1,0
10360014,95,27,9.6,4.07,28.0,42,0,2,0,4,1,1,0,0,1,0
10360015,126,26,9.2,3.87,28.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
10360016,184,30,20.0,3.68,22.0,44,0,1,0,1,1,0,0,1,1,0
10360023,162,10,0.0,1.12,7.0,17,3,2,1,6,1,0,0,1,0,1
10360023,111,19,0.0,2.06,16.5,17,3,2,1,6,1,0,0,1,0,1
10360023,182,12,0.0,1.35,11.0,17,3,2,1,6,1,0,0,1,0,1
10360035,118,33,11.0,4.7,30.0,54,0,3,0,2,1,0,0,1,0,1
10360095,50,16,4.8,2.35,15.0,30,-1,2,2,2,1,0,0,1,0,1
10360095,63,16,4.8,2.32,16.0,30,-1,2,2,2,1,0,0,1,0,1
10360113,145,14,14.0,1.81,14.2,53,0,3,2,3,1,1,0,0,1,0
10360139,135,33,7.8,4.46,31.0,46,2,2,1,3,1,0,0,1,0,1
10360139,0,2,2.2,0.49,1.4,46,2,2,1,3,1,0,0,1,0,1
10360162,98,5,3.0,0.6,3.5,70,0,1,0,2,1,1,0,0,0,1
10360162,11,2,2.2,0.21,0.7,70,0,1,0,2,2,1,0,0,0,1
10360162,15,3,0.0,0.46,1.1,70,0,1,0,2,2,1,0,0,0,1
10360193,159,28,43.2,4.61,32.5,37,0,2,0,0,1,1,0,0,1,0
10360195,194,47,9.6,6.98,51.5,52,0,2,1,4,1,0,0,1,0,1
10360212,61,15,6.2,2.39,16.0,59,0,2,0,0,1,1,0,0,0,1
10360212,73,8,6.2,0.87,6.5,59,0,2,0,0,1,1,0,0,0,1
10360225,60,17,2.4,2.45,16.0,60,0,1,0,3,1,0,0,1,0,1
10360225,228,64,38.9,12.8,97.0,60,0,1,0,3,1,0,0,1,0,1
10360225,269,180,44.6,38.61,298.0,60,0,1,0,3,1,0,0,1,0,1
10360235,219,49,38.4,9.04,67.0,61,0,3,1,5,1,1,0,0,1,0
10360236,193,40,15.8,5.03,32.5,48,-1,3,1,5,1,0,0,1,0,1
10360283,127,44,12.4,4.69,32.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
10360284,162,33,7.0,4.63,34.0,66,0,2,0,2,1,0,0,1,0,1
10360284,151,28,4.8,3.28,21.6,66,0,2,0,2,1,0,0,1,0,1
10360285,176,30,11.0,4.49,29.0,39,2,2,1,4,1,0,0,1,0,1
10360285,143,34,11.0,4.79,30.0,39,2,2,1,4,1,0,0,1,0,1
10360286,185,61,43.2,11.78,88.0,42,2,2,1,4,1,1,0,0,1,0
10360366,189,36,15.8,4.33,27.0,78,-1,1,-1,-1,1,1,0,0,0,1
10360414,108,23,9.6,3.4,25.0,44,3,1,1,5,1,1,0,0,1,0
10360414,102,24,9.6,3.73,27.0,44,3,1,1,5,1,1,0,0,1,0
10360415,77,18,6.0,2.01,14.0,36,3,1,1,5,1,0,0,1,0,1
10360458,9,0,2.2,0.07,0.2,41,1,2,-1,5,1,0,0,1,1,0
10360458,16,3,2.2,0.37,3.0,41,1,2,-1,5,1,0,0,1,1,0
10360460,66,16,9.6,2.41,17.0,27,0,2,0,1,1,1,0,0,1,0
10360462,124,46,12.4,6.68,50.5,65,0,1,0,0,1,0,0,1,0,1
10360464,91,22,0.0,2.95,22.5,17,1,1,1,4,0,1,0,0,0,1
10360475,53,1,2.8,0.16,0.7,50,1,2,0,7,0,1,0,0,1,0
10360475,162,85,21.0,14.37,109.0,50,1,2,0,7,1,1,0,0,1,0
10360518,104,35,11.0,4.63,31.0,28,0,2,0,2,1,0,0,1,0,1
10360519,279,117,46.2,15.35,109.0,29,0,2,0,2,1,1,0,0,0,1
10360519,127,31,12.4,3.48,24.0,29,0,2,0,2,1,1,0,0,0,1
10360527,102,14,4.8,2.24,16.5,41,2,1,1,3,1,0,0,1,0,1
