a.0,a.1,a.2,b.0,b.1,b.2,y
0.174414,0.166467,0.374307,0.929831,0.133234,0.4125,2
0.451951,0.538693,0.943853,0.17181,0.567037,0.965227,2
0.536631,0.975895,0.976218,0.24962,0.748423,0.465124,2
0.436574,0.243105,0.17398,0.145075,0.202344,0.492919,0
0.963916,0.82767,0.830529,0.788614,0.914973,0.121612,1
0.62367,0.22472,0.120705,0.988008,0.712697,0.442889,0
0.300784,0.68551,0.104341,0.610258,0.723019,0.15555,1
0.70744,0.583949,0.414667,0.361355,0.708737,0.750877,1
0.436785,0.276116,0.793803,0.021876,0.781722,0.698399,2
0.83824,0.754877,0.814793,0.363588,0.755897,0.487683,1
0.196231,0.10842,0.532907,0.54762,0.533997,0.788815,2
0.695311,0.114381,0.452315,0.818697,0.250115,0.818971,0
0.29743,0.707416,0.638394,0.960633,0.823557,0.599839,2
0.744755,0.087305,0.582689,0.528168,0.390636,0.592768,0
0.480454,0.944271,0.29302,0.655195,0.644874,0.482307,1
0.807968,0.41731,0.355666,0.407916,0.727691,0.234108,0
0.986771,0.561053,0.125231,0.781425,0.883549,0.361326,0
0.258895,0.715804,0.387343,0.398867,0.336803,0.884344,1
0.737095,0.069615,0.627228,0.982136,0.464633,0.015587,0
0.793786,0.266447,0.88097,0.498052,0.476304,0.824869,2
0.415229,0.742615,0.030734,0.566873,0.199964,0.86286,0
0.596851,0.54562,0.351612,0.485602,0.583811,0.17421,1
0.458767,0.60893,0.806009,0.437164,0.68693,0.706469,2
0.974167,0.877423,0.732765,0.604618,0.27655,0.050552,0
0.114261,0.11511,0.047829,0.898953,0.308128,0.289241,0
0.032409,0.789608,0.865909,0.906727,0.892243,0.46341,1
0.449273,0.397244,0.049297,0.097179,0.997537,0.930203,1
0.268028,0.402059,0.271458,0.63054,0.02816,0.677642,0
0.176938,0.610749,0.611337,0.758686,0.109122,0.54897,2
0.442717,0.204606,0.344768,0.426539,0.160565,0.846386,0
0.214919,0.845366,0.300696,0.394325,0.099844,0.4609,1
0.764621,0.34555,0.472524,0.446587,0.425154,0.135775,0
0.861314,0.695539,0.715209,0.454025,0.276157,0.791122,2
0.168601,0.401659,0.045937,0.959401,0.839671,0.596918,1
0.48005,0.295332,0.348865,0.779631,0.712488,0.548301,0
0.402272,0.744422,0.879539,0.252406,0.073013,0.869542,2
0.72717,0.135764,0.413816,0.127089,0.905276,0.071392,0
0.37045,0.511236,0.534163,0.289407,0.099438,0.907252,2
0.569909,0.013255,0.769407,0.653198,0.162155,0.312671,0
0.318671,0.656662,0.710274,0.617606,0.473038,0.274361,2
0.717159,0.935803,0.772674,0.455758,0.032269,0.12769,1
0.546113,0.33721,0.243616,0.890677,0.870534,0.210419,1
0.697735,0.037206,0.639275,0.318063,0.356221,0.847816,2
0.921626,0.996834,0.332279,0.301703,0.874622,0.858962,1
0.574887,0.468372,0.350907,0.360821,0.226692,0.569683,2
0.942136,0.612946,0.403822,0.892931,0.765079,0.870784,0
0.740021,0.092004,0.807923,0.472062,0.914923,0.578413,2
0.576365,0.766906,0.423384,0.275442,0.965984,0.306599,1
0.956463,0.070965,0.489184,0.706166,0.63563,0.91515,0
0.508341,0.393754,0.826002,0.912895,0.731944,0.184666,2
0.164621,0.547403,0.307974,0.615754,0.277263,0.57698,1
0.880877,0.713145,0.932143,0.803271,0.761679,0.23176,0
0.174502,0.804588,0.66107,0.166701,0.937766,0.42369,1
0.204476,0.747105,0.877682,0.56014,0.679384,0.017922,1
0.331727,0.942574,0.337222,0.248004,0.394411,0.67552,1
0.171926,0.979255,0.899929,0.011632,0.957424,0.20525,1
0.333549,0.970007,0.326678,0.512471,0.532023,0.096826,1
0.075907,0.822264,0.171497,0.436398,0.867488,0.706115,1
0.199178,0.459122,0.028657,0.771161,0.361675,0.611135,1
0.190255,0.431524,0.099724,0.895288,0.138069,0.952651,2
0.199782,0.346594,0.662522,0.822177,0.037319,0.093278,0
0.441156,0.290549,0.758617,0.611204,0.454377,0.812528,0
0.232429,0.981868,0.041333,0.221539,0.790392,0.814675,1
0.460953,0.267783,0.786958,0.644924,0.998862,0.832171,2
0.661558,0.296806,0.282497,0.00532,0.552094,0.912613,2
