,RF,SVM,XGBoost,NN,DNN,ResNet
criterion,0.0,,,,,
max_depth,6.0,,2.0,,,
max_features,3.0,,,,,
min_samples_leaf,4.0,,,,,
min_samples_split,2.0,,,,,
n_estimators,142.0,,2706.0,,,
_best_loss,0.9769367618715612,0.9624598395581928,0.9684962831226136,0.9666029748070376,0.965856448766186,0.9748927100373428
_best_GMPCA,0.3764625287710803,0.381952188364569,0.37965350046517404,0.3803729824803612,0.3806570468345455,0.3772328246877191
_elapsed_time,1059.1481542279944,4760.692437445046,14776.618042854825,3953.734394107014,8616.826109385001,78260.95194866415
C,,9.930982926763532,,,,
gamma,,0.0557021987557773,4.964687374732534,,,
kernel,,0.0,,,,
nystrom_components,,0.0,,,,
colsample_bylevel,,,0.9407794826481184,,,
colsample_bytree,,,0.9734883816418713,,,
max_delta_step,,,5.0,,,
min_child_weight,,,29.0,,,
reg_alpha,,,0.20085123098970786,,,
reg_lambda,,,1.579778010608061,,,
subsample,,,0.6267835562224745,,,
activation,,,,0.0,,
batch_size,,,,1.0,2.0,0.0
hidden_layer_sizes,,,,10.0,,
learning_rate,,,,0.0,,
learning_rate_init,,,,0.2579104806853146,,
max_iter,,,,0.0,,
solver,,,,1.0,,
tol,,,,0.0,,
depth,,,,,0.0,
drop,,,,,0.0,0.0
epochs,,,,,86.0,70.0
input_dim,,,,,0.0,0.0
output_dim,,,,,0.0,0.0
width,,,,,0.0,4.0
n_residual,,,,,,0.0
