,NN,ResNet,RF
_best_GMPCA,0.3528707866961401,0.3321827973912075,0.3693388613515378
_best_loss,1.0416533324127724,1.1020698670353837,0.996040732896715
_elapsed_time,10.230712724,68.48593315099998,1.351435265000001
activation,0.0,,
hidden_layer_sizes,183.0,,
learning_rate,0.0,,
learning_rate_init,0.1739878069256759,,
max_iter,0.0,,
solver,2.0,,
tol,0.0,,
batch_size,,0.0,
epochs,,0.0,
input_dim,,0.0,
output_dim,,0.0,
criterion,,,1.0
max_depth,,,6.0
max_features,,,4.0
min_samples_leaf,,,2.0
min_samples_split,,,6.0
n_estimators,,,112.0
