,NN,ResNet,DNN,RF,SVM
_best_GMPCA,0.0167802446695567,0.3325221604030487,0.3412181601458155,0.4156958462003968,0.4294706488463985
_best_loss,4.087552997026927,1.101048773278378,1.0752332404380252,0.877801425074655,0.8452018778524629
_elapsed_time,77.804753093,57.662430719000014,5.259050310999999,0.3446510590000002,1.2117343809999994
activation,0.0,,,,
hidden_layer_sizes,392.0,,,,
learning_rate,0.0,,,,
learning_rate_init,0.3065904726484137,,,,
max_iter,0.0,,,,
solver,2.0,,,,
tol,0.0,,,,
batch_size,,2.0,8076.0,,
epochs,,0.0,0.0,,
input_dim,,0.0,0.0,,
output_dim,,0.0,0.0,,
depth,,,0.0,,
drop,,,0.0,,
width,,,1.0,,
criterion,,,,1.0,
max_depth,,,,7.0,
max_features,,,,4.0,
min_samples_leaf,,,,3.0,
min_samples_split,,,,15.0,
n_estimators,,,,23.0,
C,,,,,0.11124714919478013
gamma,,,,,0.007279853924830014
kernel,,,,,0.0
nystrom_components,,,,,0.0
