,RF,SVM,XGBoost,NN,DNN,ResNet
criterion,1.0,,,,,
max_depth,9.0,,1.0,,,
max_features,3.0,,,,,
min_samples_leaf,6.0,,,,,
min_samples_split,9.0,,,,,
n_estimators,163.0,,3205.0,,,
_best_loss,0.5945548417139918,0.5554790452794125,0.5607764124085032,0.5527897183297544,0.5505711358159513,0.5607048332040122
_best_GMPCA,0.551808153172834,0.5737973204494595,0.570765742166291,0.5753425258970069,0.576620387761255,0.5708065985862835
_elapsed_time,1054.1085246652365,2863.086681036046,15520.894040403888,5669.489595832303,6712.648307797001,92126.07909151306
C,,9.95651602417621,,,,
gamma,,0.0679540803240125,0.00679616030368096,,,
kernel,,0.0,,,,
nystrom_components,,0.0,,,,
colsample_bylevel,,,0.9627484450555996,,,
colsample_bytree,,,0.9584392636047098,,,
max_delta_step,,,0.0,,,
min_child_weight,,,4.0,,,
reg_alpha,,,1.6598118797084551,,,
reg_lambda,,,0.08027142898906409,,,
subsample,,,0.5001811147199048,,,
activation,,,,0.0,,
batch_size,,,,1.0,2.0,0.0
hidden_layer_sizes,,,,135.0,,
learning_rate,,,,0.0,,
learning_rate_init,,,,0.6377198366801796,,
max_iter,,,,0.0,,
solver,,,,1.0,,
tol,,,,0.0,,
depth,,,,,0.0,
drop,,,,,2.0,0.0
epochs,,,,,52.0,87.0
input_dim,,,,,0.0,0.0
output_dim,,,,,0.0,0.0
width,,,,,0.0,4.0
n_residual,,,,,,0.0
