,NN,ResNet,RF
_best_GMPCA,0.4185347105082861,0.3324503880097587,0.3839874850946079
_best_loss,0.8709954522093191,1.1012646390122045,0.9571453178249637
_elapsed_time,19.904328907999968,63.903122295,0.9527566620000023
activation,0.0,,
hidden_layer_sizes,383.0,,
learning_rate,0.0,,
learning_rate_init,0.4376735214147361,,
max_iter,0.0,,
solver,0.0,,
tol,0.0,,
batch_size,,0.0,
epochs,,0.0,
input_dim,,0.0,
output_dim,,0.0,
criterion,,,1.0
max_depth,,,3.0
max_features,,,2.0
min_samples_leaf,,,4.0
min_samples_split,,,10.0
n_estimators,,,129.0
