,RF,SVM,XGBoost,NN,DNN
criterion,1.0,,,,
max_depth,9.0,,2.0,,
max_features,5.0,,,,
min_samples_leaf,15.0,,,,
min_samples_split,9.0,,,,
n_estimators,150.0,,4169.0,,
_best_loss,0.8676322041808467,0.8532164039476937,0.8605313618140348,0.8545232265565981,0.8544424668738062
_best_GMPCA,0.4199447163187824,0.4260424013639637,0.42293728987440704,0.4254860031575713,0.4255203666597928
_elapsed_time,997.6643449221738,4388.4464694750495,19334.125677149044,5237.306398848072,11646.333213216
C,,9.203903244885275,,,
gamma,,0.0579798547996491,4.051494109754458,,
kernel,,0.0,,,
nystrom_components,,0.0,,,
colsample_bylevel,,,0.9606384601594636,,
colsample_bytree,,,0.9793327889100271,,
max_delta_step,,,4.0,,
min_child_weight,,,38.0,,
reg_alpha,,,0.4447884375390337,,
reg_lambda,,,0.0758361829639101,,
subsample,,,0.5836969602829437,,
activation,,,,0.0,
batch_size,,,,0.0,0.0
hidden_layer_sizes,,,,12.0,
learning_rate,,,,0.0,
learning_rate_init,,,,0.1099003835996261,
max_iter,,,,0.0,
solver,,,,1.0,
tol,,,,0.0,
depth,,,,,0.0
drop,,,,,2.0
epochs,,,,,128.0
input_dim,,,,,0.0
output_dim,,,,,0.0
width,,,,,0.0
