,RF,SVM,XGBoost,NN,DNN
criterion,1.0,,,,
max_depth,10.0,,1.0,,
max_features,3.0,,,,
min_samples_leaf,10.0,,,,
min_samples_split,16.0,,,,
n_estimators,147.0,,2307.0,,
_best_loss,0.7416676660488292,0.7114084139103497,0.720428037800156,0.7065721707758569,0.7078124339504165
_best_GMPCA,0.4763189119271964,0.4909522463255018,0.486543952179236,0.4933323615249635,0.4927208788422568
_elapsed_time,937.8759385719896,3458.1601406440604,12486.313286688877,4398.561147096567,10105.643499933998
C,,9.938985436878149,,,
gamma,,0.0339570184734237,0.0010767603081423022,,
kernel,,0.0,,,
nystrom_components,,0.0,,,
colsample_bylevel,,,0.9090337806298188,,
colsample_bytree,,,0.9587819796455522,,
max_delta_step,,,0.0,,
min_child_weight,,,28.0,,
reg_alpha,,,0.9603012858277988,,
reg_lambda,,,0.0073318390101589125,,
subsample,,,0.5000244087132559,,
activation,,,,0.0,
batch_size,,,,0.0,2.0
hidden_layer_sizes,,,,62.0,
learning_rate,,,,0.0,
learning_rate_init,,,,0.493219465237746,
max_iter,,,,0.0,
solver,,,,1.0,
tol,,,,0.0,
depth,,,,,0.0
drop,,,,,1.0
epochs,,,,,124.0
input_dim,,,,,0.0
output_dim,,,,,0.0
width,,,,,0.0
