,RF,SVM,XGBoost,NN,DNN
criterion,1.0,,,,
max_depth,10.0,,7.0,,
max_features,8.0,,,,
min_samples_leaf,3.0,,,,
min_samples_split,15.0,,,,
n_estimators,153.0,,4376.0,,
_best_loss,0.7632008293177711,0.8183264561901207,0.7488556596977762,0.7644807815175367,0.7802938072944804
_best_GMPCA,0.4661718997387423,0.4411693532885125,0.4729074102282272,0.4655756036868327,0.4582713480587592
_elapsed_time,2216.2015859922394,210707.32223241078,144957.49232167192,231055.58879635297,42039.34311953606
C,,7.999790368089319,,,
gamma,,0.008236953043792985,4.970640396227425,,
kernel,,0.0,,,
nystrom_components,,0.0,,,
colsample_bylevel,,,0.5402594818545998,,
colsample_bytree,,,0.5530877311092224,,
max_delta_step,,,0.0,,
min_child_weight,,,1.0,,
reg_alpha,,,0.028857440675684555,,
reg_lambda,,,0.2645188519347339,,
subsample,,,0.8232541073863161,,
activation,,,,0.0,
batch_size,,,,2.0,1.0
hidden_layer_sizes,,,,10.0,
learning_rate,,,,0.0,
learning_rate_init,,,,0.41641571720518866,
max_iter,,,,0.0,
solver,,,,0.0,
tol,,,,0.0,
depth,,,,,0.0
drop,,,,,0.0
epochs,,,,,114.0
input_dim,,,,,0.0
output_dim,,,,,0.0
width,,,,,0.0
class_weight,,0.0,,,
