,RF,SVM,XGBoost,NN,DNN
criterion,0.0,,,,
max_depth,10.0,,5.0,,
max_features,9.0,,,,
min_samples_leaf,3.0,,,,
min_samples_split,12.0,,,,
n_estimators,128.0,,732.0,,
_best_loss,0.5198302134420892,0.5641375078699732,0.4970379842119681,0.5412372454778288,0.5709450642769647
_best_GMPCA,0.5946214981373896,0.5688505643714045,0.6083298764413482,0.5820276955787631,0.5649912332786976
_elapsed_time,978.3167154518889,4007.475713254884,8867.977198914159,8282.704869487789,6418.115361527074
C,,1.4751980017193784,,,
gamma,,0.019583959156169305,0.1743454219151308,,
kernel,,0.0,,,
nystrom_components,,0.0,,,
colsample_bylevel,,,0.6335592979848972,,
colsample_bytree,,,0.9491455475080036,,
max_delta_step,,,2.0,,
min_child_weight,,,3.0,,
reg_alpha,,,0.0971039071189164,,
reg_lambda,,,0.6908759958243527,,
subsample,,,0.5810804358974476,,
activation,,,,0.0,
batch_size,,,,3.0,3.0
hidden_layer_sizes,,,,195.0,
learning_rate,,,,0.0,
learning_rate_init,,,,0.5212827984981532,
max_iter,,,,0.0,
solver,,,,1.0,
tol,,,,0.0,
depth,,,,,0.0
drop,,,,,2.0
epochs,,,,,174.0
input_dim,,,,,0.0
output_dim,,,,,0.0
width,,,,,1.0
class_weight,,0.0,,,
